student_id,completed_courses,stated_goal_pathway,max_courses_per_term,term_progress,language_preference,accessibility_preference
STU_0001,CS102;CS205;DES101;MATH101;MATH201;PROD201;STAT201,PW_UX_ENG,3,Year 3,es,standard
STU_0002,CS101;DATA101;DES101;PROD201;SEC201;STAT101;SYS101,PW_FULLSTACK,2,Year 3,en,standard
STU_0003,STAT101,PW_PROD_MGR,2,Year 1-2,es,standard
STU_0004,CS101;CS205;DATA101;STAT201;SYS101;SYS201;WEB201,PW_FINTECH,4,Year 3,en,standard
STU_0005,CS101;CS102;MATH101,,2,Year 1-2,en,standard
STU_0006,CS102;DES101,PW_FULLSTACK,4,Year 1-2,en,standard
STU_0007,CS102;DATA101;STAT101,PW_SYS_ENG,3,Year 1-2,en,standard
STU_0008,CS101;MATH101;STAT101;SYS101;SYS201;WEB201,PW_DATA_SCI,2,Year 3,en,standard
STU_0009,DATA101;DES101,PW_AI_ETHICS,2,Year 1-2,en,standard
STU_0010,DATA101;STAT101;SYS101,PW_PROD_MGR,2,Year 1-2,en,standard
STU_0011,CS102;CS205;DATA101;DES101;PROD201,PW_SYS_ENG,3,Year 3,en,standard
STU_0012,CS101;CS205;DATA201;DES101;HCI201;SYS101;SYS201,PW_SYS_ENG,2,Year 3,en,standard
STU_0013,CS102;STAT101;SYS101,PW_DATA_SCI,4,Year 1-2,en,standard
STU_0014,SYS101,PW_DATA_ENG,2,Year 1-2,en,high_contrast
STU_0015,CS101;CS102;CS205;SEC201;STAT101;SYS101,,4,Year 3,en,standard
STU_0016,CS102;DATA101;MATH205;STAT101;STAT201;SYS101;SYS201;WEB201,PW_FINTECH,4,Year 3,en,standard
STU_0017,MATH101,PW_ML_ENG,4,Year 1-2,en,high_contrast
STU_0018,CS101;CS205;MATH101;STAT101;STAT201,PW_CYBERSEC,3,Year 3,en,standard
STU_0019,BIO301;CS101;CS102;CS303;CS308;DATA101;DATA201;DES101;PROD201;SEC201;STAT101;SYS101;WEB201,PW_SYS_ENG,4,Year 4,en,standard
STU_0020,CS102;DATA101,PW_CLOUD_DEVOPS,3,Year 1-2,en,high_contrast
STU_0021,CLOUD301;CS101;CS102;CS303;DATA305;DES101;MATH205;PROD201;SEC201;STAT101;SYS101;SYS305;WEB201,PW_ML_ENG,3,Year 4,en,standard
STU_0022,CS101;CS102;CS201;DATA101;DES101;MATH205;STAT101;STAT201;SYS101;SYS201,PW_BIOINFO,3,Year 3,es,standard
STU_0023,AI305;CS101;CS102;CS205;CS303;CS305;HCI201;MATH101;MATH205;SE301;STAT101;SYS101;WEB201,PW_UX_ENG,4,Year 4,en,standard
STU_0024,CS102;CS205;DATA101;DATA201;MATH101;SEC201,PW_ML_ENG,3,Year 3,en,high_contrast
STU_0025,CS101;CS102;DATA101;MATH101;MATH201;SEC201;STAT101;SYS101;SYS201,PW_DEPRECATED_WEB3,4,Year 3,en,standard
STU_0026,CS101;CS102;CS205;DATA101;DES101;HCI201;MATH101;MATH201;STAT201,PW_FULLSTACK,3,Year 3,en,standard
STU_0027,CS101;CS201;DATA101;HCI201;MATH101;SYS101;SYS201;WEB201,PW_ML_ENG,3,Year 3,en,standard
STU_0028,CS101;CS201;DATA101;DATA201;DES101;MATH201;STAT101;STAT201;SYS101,PW_UX_ENG,4,Year 3,es,standard
STU_0029,BIO301;CS101;CS102;DATA101;DATA305;DES101;HCI201;MATH101;MATH201;MATH205;PROD201;WEB201,PW_SYS_ENG,2,Year 4,es,standard
STU_0030,CS101;CS102;CS201;CS205;DES101;MATH101;SEC201;STAT101;SYS101;WEB201,PW_CYBERSEC,2,Year 3,en,standard
STU_0031,CS101;CS102;DATA201;DES101;WEB201,PW_FULLSTACK,2,Year 3,en,standard
STU_0032,CS101;CS102;CS201;CS205;MATH101;STAT101;SYS101;SYS201,PW_UX_ENG,3,Year 3,en,standard
STU_0033,AI305;CS101;CS102;CS305;DATA101;DATA201;FIN301;HCI201;HCI301;MATH101;MATH205;PROD201;STAT201;SYS101,PW_DATA_SCI,4,Year 4,en,standard
STU_0034,CS102;MATH101;SYS101,PW_CYBERSEC,3,Year 1-2,en,standard
STU_0035,DATA101;MATH101;SYS101,PW_ML_ENG,3,Year 1-2,en,standard
STU_0036,CS102;CS205;DATA101;DES101;MATH201;STAT101;SYS101;SYS201,PW_DATA_ENG,4,Year 3,en,standard
STU_0037,CS101;CS102;CS205;DATA101;DES101;MATH205;SEC201;STAT101,PW_AI_ETHICS,3,Year 3,en,standard
STU_0038,CS101;CS102;DES101;MATH205;SYS101;WEB201,PW_CLOUD_DEVOPS,4,Year 3,en,screen_reader
STU_0039,DATA101,PW_CLOUD_DEVOPS,3,Year 1-2,en,standard
STU_0040,CS101;CS102;DATA101;DES101;FIN301;HCI201;HCI301;MATH205;PROD201;SEC201;SEC301;SEC305;STAT101;SYS101;SYS201;WEB201,PW_DATA_SCI,4,Year 4,en,standard
STU_0041,CS102;CS205;DATA101;MATH205;STAT101,PW_SYS_ENG,3,Year 3,en,high_contrast
STU_0042,CS101;CS102;CS205;CS301;DATA101;DES101;HCI301;MATH205;PROD201;SE301;SEC201;SEC305;STAT101;SYS101;SYS201;WEB201,PW_SYS_ENG,3,Year 4,en,standard
STU_0043,AI305;CLOUD301;CS101;CS201;CS205;CS308;DATA101;DES101;HCI201;MATH201;SEC201;SEC305;STAT101;SYS101;WEB201,PW_AI_ETHICS,3,Year 4,en,standard
STU_0044,CS101;CS102;CS201;CS205;CS301;DATA101;DES101;HCI201;PROD201;STAT101;STAT201;SYS101;SYS305,PW_UX_ENG,2,Year 4,es,high_contrast
STU_0045,BIO301;CLOUD301;CS101;CS102;CS201;CS205;DATA101;DATA201;MATH101;PROD201;SEC201;STAT101;SYS101;SYS201;SYS305,PW_DATA_SCI,4,Year 4,en,high_contrast
