pathway_id,course_id,weight,rationale
PW_ML_ENG,CS101,0.5,Foundational programming required for ML scripts.
PW_ML_ENG,CS102,0.5,Discrete structures and graph representations.
PW_ML_ENG,MATH101,0.6,Differential calculus foundations for gradient descent.
PW_ML_ENG,STAT101,0.6,Introductory probability and empirical distributions.
PW_ML_ENG,CS201,0.8,Algorithms essential for complex tensor structures and graph processing.
PW_ML_ENG,MATH201,0.7,Multivariable calculus for vector derivatives and loss gradients.
PW_ML_ENG,MATH205,0.9,Vector algebra and matrix decomposition are mathematical core of deep learning.
PW_ML_ENG,STAT201,0.9,Probability theory necessary to understand generative models and loss distributions.
PW_ML_ENG,CS305,1.0,Core prerequisite covering classical machine learning paradigms.
PW_ML_ENG,CS405,1.0,State-of-the-art deep architectures and backpropagation optimization.
PW_ML_ENG,CS410,0.9,"Production deployment, inference latency, and feature store architectures."
PW_ML_ENG,AI401,0.8,Modern generative foundation models and retrieval-augmented pipelines.
PW_ML_ENG,CLOUD301,0.6,Containerized model deployment in cloud environments.
PW_ML_ENG,AI500,0.9,Capstone verifying end-to-end ML engineering capability.
PW_DATA_SCI,DATA101,0.8,Introduction to exploratory analysis and data ethics.
PW_DATA_SCI,STAT101,0.8,Foundational statistical hypothesis testing and descriptive inference.
PW_DATA_SCI,CS101,0.6,Python programming for data wrangling scripts.
PW_DATA_SCI,MATH101,0.6,Calculus for statistical density and continuous distributions.
PW_DATA_SCI,DATA201,0.9,"Relational data extraction, normalization, and complex querying."
PW_DATA_SCI,CS201,0.7,Data structures for memory-efficient feature engineering.
PW_DATA_SCI,MATH205,0.8,Linear algebra required for PCA and dimensional reduction.
PW_DATA_SCI,STAT201,0.9,Bayesian estimation and stochastic distributions.
PW_DATA_SCI,CS305,0.9,Predictive modeling and classification/regression algorithms.
PW_DATA_SCI,DATA305,0.9,Statistical visual communication and exploratory charting.
PW_DATA_SCI,DATA405,0.9,Causal inference and quasi-experimental econometric evaluation.
PW_DATA_SCI,DATA500,0.9,Production capstone demonstrating predictive data science value.
PW_CLOUD_DEVOPS,CS101,0.5,Scripting for automation and cloud configuration.
PW_CLOUD_DEVOPS,SYS101,0.6,Computer organization and hardware architecture.
PW_CLOUD_DEVOPS,CS102,0.5,Logic gates and networking foundations.
PW_CLOUD_DEVOPS,SYS201,0.8,POSIX systems and memory interaction.
PW_CLOUD_DEVOPS,CS201,0.7,Data structures for distributed routing algorithms.
PW_CLOUD_DEVOPS,CS301,0.9,"Process isolation, concurrency, and virtual memory underpinning containers."
PW_CLOUD_DEVOPS,CS303,0.9,"Network routing, DNS, and TLS protocols essential for cloud routing."
PW_CLOUD_DEVOPS,CLOUD301,1.0,"Core cloud infrastructure, virtual networks, and container engines."
PW_CLOUD_DEVOPS,CS401,0.9,"Distributed consensus (Raft, Paxos) and cloud storage partitions."
PW_CLOUD_DEVOPS,CS415,1.0,Kubernetes microservices orchestration and cloud-native patterns.
PW_CLOUD_DEVOPS,CS430,1.0,"Site reliability engineering, observability telemetry, and chaos engineering."
PW_CLOUD_DEVOPS,SEC401,0.8,Identity and access management (IAM) and cloud zero-trust.
PW_CLOUD_DEVOPS,SYS500,0.9,High-performance distributed cluster systems capstone.
PW_CYBERSEC,CS101,0.5,Scripting for automation and payload analysis.
PW_CYBERSEC,SYS101,0.6,Logic architecture and hardware security foundations.
PW_CYBERSEC,CS102,0.5,Discrete math and boolean logic for cryptosystems.
PW_CYBERSEC,SYS201,0.8,Low-level memory layouts required to understand exploitation techniques.
PW_CYBERSEC,CS201,0.7,Data structures for malware disassembly and graph modeling.
PW_CYBERSEC,CS303,0.9,"Network packets, firewalls, and cryptographic handshakes."
PW_CYBERSEC,SEC201,1.0,"Core security principles, threat modeling, and symmetric/asymmetric ciphers."
PW_CYBERSEC,SEC301,0.9,"Applied cryptography, public key infrastructure, and protocol security."
PW_CYBERSEC,SEC305,0.9,Source code vulnerability assessment and memory corruption remediation.
PW_CYBERSEC,SEC401,0.9,Cloud identity perimeter defense and infrastructure hardening.
PW_CYBERSEC,SEC405,1.0,"Penetration testing, exploitation methodologies, and red team defense."
PW_CYBERSEC,SEC500,1.0,Defensive cyber range and forensic incident response capstone.
PW_FULLSTACK,CS101,0.6,Introductory programming logic.
PW_FULLSTACK,CS102,0.5,Discrete mathematics and state machine logic.
PW_FULLSTACK,DES101,0.6,Visual layout principles and typography for user interfaces.
PW_FULLSTACK,DATA101,0.5,Data manipulation and storage concepts.
PW_FULLSTACK,CS201,0.8,Data structures for fast client and server state processing.
PW_FULLSTACK,CS205,0.8,Object-oriented design patterns for maintainable codebases.
PW_FULLSTACK,DATA201,0.8,Relational schema modeling and transaction persistence.
PW_FULLSTACK,WEB201,1.0,Modern reactive client architecture and browser rendering lifecycle.
PW_FULLSTACK,CS308,1.0,REST/GraphQL API design and backend middleware engineering.
PW_FULLSTACK,SE301,0.8,"Automated unit, integration, and end-to-end regression testing."
PW_FULLSTACK,SE401,0.9,"Enterprise system architecture, CQRS, and domain-driven design."
PW_FULLSTACK,CS500,0.9,Full-scale software engineering capstone.
PW_PROD_MGR,DATA101,0.7,Data literacy and quantitative decision framing.
PW_PROD_MGR,DES101,0.7,Visual hierarchy and empathetic user experience foundations.
PW_PROD_MGR,CS101,0.6,Technical literacy to converse with software engineering teams.
PW_PROD_MGR,STAT101,0.6,Statistical hypothesis testing for feature experimentation.
PW_PROD_MGR,PROD201,1.0,"Core product lifecycle management, user research, and roadmapping."
PW_PROD_MGR,DATA201,0.7,SQL querying to analyze user telemetry independently.
PW_PROD_MGR,PROD301,1.0,"A/B testing, cohort retention analytics, and metric architecture."
PW_PROD_MGR,DATA305,0.8,Data storytelling for executive and customer presentations.
PW_PROD_MGR,AI310,0.8,Responsible technology governance and regulatory compliance.
PW_PROD_MGR,PROD401,1.0,End-to-end product incubation leadership and commercialization.
PW_PROD_MGR,PROD500,1.0,Comprehensive venture launch capstone.
PW_SYS_ENG,SYS101,0.8,Hardware logic gates and register-transfer-level architecture.
