event_id,student_id,course_id,term,outcome,notes
EVT_00001,STU_0237,MATH201,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00002,STU_0129,DATA201,Spring 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00003,STU_0250,DATA401,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00004,STU_0121,DATA201,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00005,STU_0100,CS420,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00006,STU_0316,CS415,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00007,STU_0187,CS420,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00008,STU_0161,SE301,Spring 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00009,STU_0224,BIO301,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00010,STU_0170,SYS500,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00011,STU_0157,SEC500,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00012,STU_0311,MATH205,Fall 2025,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00013,STU_0072,SEC301,Fall 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00014,STU_0040,MATH201,Fall 2024,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00015,STU_0016,SYS405,Spring 2025,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00016,STU_0283,HCI301,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00017,STU_0077,SEC405,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00018,STU_0302,CS405,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00019,STU_0262,SYS201,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00020,STU_0006,CLOUD301,Spring 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00021,STU_0072,BIO401,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00022,STU_0290,CS301,Spring 2026,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00023,STU_0021,AI305,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00024,STU_0136,AI401,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00025,STU_0106,EDGE201,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00026,STU_0233,DES101,Fall 2024,unaligned_pathway_switch,Elective did not advance stated degree pathway; prompted major change.
EVT_00027,STU_0166,WEB201,Fall 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00028,STU_0135,DATA301,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00029,STU_0188,MATH201,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00030,STU_0115,EDGE201,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00031,STU_0177,SEC500,Spring 2026,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00032,STU_0004,HCI500,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00033,STU_0118,MATH201,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00034,STU_0096,CS305,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00035,STU_0061,AI310,Spring 2026,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00036,STU_0059,SYS500,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00037,STU_0303,CS305,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00038,STU_0023,PROD201,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00039,STU_0263,DES101,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00040,STU_0133,DATA305,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00041,STU_0289,MATH101,Fall 2025,unaligned_pathway_switch,Elective did not advance stated degree pathway; prompted major change.
EVT_00042,STU_0111,BIO401,Spring 2026,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00043,STU_0088,AI305,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00044,STU_0299,DATA305,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00045,STU_0176,CS500,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00046,STU_0198,PROD201,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00047,STU_0268,HCI500,Spring 2026,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00048,STU_0311,DATA201,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00049,STU_0315,SYS101,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00050,STU_0067,CS101,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
