course_id,title,department,credits,description,term_offered,difficulty_level
CS101,Introduction to Computing & Python,CS,3,"Fundamental algorithmic thinking, data structures, and Python programming.",Fall;Spring;Summer,Introductory
CS102,Discrete Mathematics & Logic,CS,3,"Propositional logic, set theory, graph theory fundamentals, and proof techniques.",Fall;Spring,Introductory
MATH101,Calculus I: Differential Foundations,MATH,4,"Limits, continuity, derivatives, and introduction to optimization.",Fall;Spring;Summer,Introductory
DATA101,Introduction to Data Science & Society,DATA,3,"Data exploration, tabular manipulation, ethical principles, and visualization.",Fall;Spring,Introductory
SYS101,Digital Logic & Computer Organization,SYS,3,"Boolean algebra, combinational circuits, and von Neumann architecture.",Fall;Spring,Introductory
DES101,Principles of Visual Design & Interface,DES,3,"Typography, color theory, layout hierarchy, and digital interface design.",Fall;Spring,Introductory
STAT101,Descriptive & Applied Statistics,MATH,3,"Probability foundations, hypothesis testing, distributions, and variance.",Fall;Spring;Summer,Introductory
CS201,Data Structures & Algorithms,CS,4,"Trees, graphs, dynamic programming, asymptotic complexity analysis.",Fall;Spring,Intermediate
CS205,Object-Oriented Design & Patterns,CS,3,"Polymorphism, SOLID principles, design patterns, and unit testing.",Fall;Spring,Intermediate
MATH201,Multivariable Calculus,MATH,3,"Partial derivatives, multiple integrals, gradient descent vectors.",Fall;Spring,Intermediate
MATH205,Linear Algebra for Computing,MATH,4,"Vector spaces, matrices, eigenvalues, eigenvectors, and SVD.",Fall;Spring,Intermediate
SYS201,Computer Systems & C Programming,SYS,4,"Pointers, memory management, UNIX system calls, and assembly.",Fall;Spring,Intermediate
DATA201,Relational Databases & SQL Modeling,DATA,3,"Relational calculus, SQL querying, indexing, and ACID transactions.",Fall;Spring;Summer,Intermediate
WEB201,Modern Client-Side Web Architecture,SE,3,"DOM manipulation, modern JavaScript/TypeScript, reactive UI components.",Fall;Spring,Intermediate
SEC201,Fundamentals of Information Security,SEC,3,"Threat actors, symmetric/asymmetric encryption, authentication primitives.",Fall;Spring,Intermediate
