course_id,term,day_time_slot,room,capacity
CS101,Fall,Tue/Thu 13:30-15:00,Turing-301,120
CS101,Spring,Fri 13:00-16:00,Lab-101,45
CS101,Summer,Fri 09:00-12:00,Lab-101,45
CS102,Fall,Mon/Wed 14:45-16:15,Lab-204,45
CS102,Spring,Fri 09:00-12:00,Hopper-102,120
MATH101,Fall,Fri 13:00-16:00,Hall-A,120
MATH101,Spring,Tue/Thu 13:30-15:00,Lab-204,45
MATH101,Summer,Tue/Thu 13:30-15:00,Hall-B,120
DATA101,Fall,Mon/Wed 08:30-10:00,Hopper-102,120
DATA101,Spring,Fri 13:00-16:00,Hall-A,120
SYS101,Fall,Fri 09:00-12:00,Hall-A,120
SYS101,Spring,Tue/Thu 10:45-12:15,Hall-B,120
DES101,Fall,Tue/Thu 09:00-10:30,Lovelace-202,120
DES101,Spring,Tue/Thu 13:30-15:00,Hopper-102,120
STAT101,Fall,Mon/Wed 08:30-10:00,Lovelace-202,120
STAT101,Spring,Mon/Wed 14:45-16:15,Lab-204,45
STAT101,Summer,Fri 09:00-12:00,Lovelace-202,120
CS201,Fall,Mon/Wed 08:30-10:00,Turing-301,120
CS201,Spring,Tue/Thu 13:30-15:00,Hall-A,120
CS205,Fall,Mon/Wed 14:45-16:15,Lab-204,45
CS205,Spring,Mon/Wed 13:00-14:30,Hall-A,120
MATH201,Fall,Fri 13:00-16:00,Virtual-01,120
MATH201,Spring,Tue/Thu 09:00-10:30,Lab-204,45
MATH205,Fall,Mon/Wed 10:15-11:45,Lab-101,45
MATH205,Spring,Tue/Thu 10:45-12:15,Hall-A,120
SYS201,Fall,Tue/Thu 10:45-12:15,Hall-B,120
SYS201,Spring,Fri 13:00-16:00,Lab-101,45
DATA201,Fall,Tue/Thu 15:15-16:45,Lovelace-202,120
DATA201,Spring,Tue/Thu 13:30-15:00,Lab-204,45
DATA201,Summer,Mon/Wed 14:45-16:15,Turing-301,120
WEB201,Fall,Tue/Thu 09:00-10:30,Virtual-01,120
WEB201,Spring,Tue/Thu 15:15-16:45,Hopper-102,120
SEC201,Fall,Fri 13:00-16:00,Lab-101,45
SEC201,Spring,Tue/Thu 10:45-12:15,Turing-301,120
STAT201,Fall,Mon/Wed 08:30-10:00,Lab-101,45
STAT201,Spring,Mon/Wed 10:15-11:45,Hall-A,120
PROD201,Fall,Mon/Wed 13:00-14:30,Lab-101,45
PROD201,Spring,Fri 13:00-16:00,Virtual-01,120
HCI201,Fall,Tue/Thu 10:45-12:15,Lovelace-202,120
HCI201,Spring,Fri 13:00-16:00,Lab-204,45
CS301,Fall,Tue/Thu 15:15-16:45,Virtual-01,120
CS301,Spring,Tue/Thu 15:15-16:45,Virtual-01,120
CS303,Fall,Fri 09:00-12:00,Hall-A,120
CS303,Spring,Tue/Thu 13:30-15:00,Lab-101,45
CS305,Fall,Fri 13:00-16:00,Hall-B,120
CS305,Spring,Fri 09:00-12:00,Lovelace-202,120
CS308,Fall,Tue/Thu 15:15-16:45,Hall-A,120
CS308,Spring,Tue/Thu 10:45-12:15,Virtual-01,120
DATA301,Fall,Mon/Wed 13:00-14:30,Hopper-102,120
DATA301,Spring,Mon/Wed 13:00-14:30,Virtual-01,120
DATA305,Fall,Mon/Wed 08:30-10:00,Lab-204,45
DATA305,Spring,Mon/Wed 14:45-16:15,Hall-A,120
SYS305,Fall,Mon/Wed 14:45-16:15,Lab-101,45
SYS305,Spring,Tue/Thu 10:45-12:15,Lab-204,45
SEC301,Fall,Mon/Wed 10:15-11:45,Hopper-102,120
SEC301,Spring,Fri 09:00-12:00,Turing-301,120
SEC305,Fall,Tue/Thu 13:30-15:00,Lab-204,45
SEC305,Spring,Mon/Wed 13:00-14:30,Virtual-01,120
