course_id,prerequisite_course_id,requirement_type
CS201,CS101,hard
CS201,CS102,hard
CS205,CS101,hard
MATH201,MATH101,hard
MATH205,MATH101,hard
MATH205,CS102,recommended
SYS201,CS101,hard
SYS201,SYS101,hard
DATA201,CS101,hard
DATA201,DATA101,recommended
WEB201,CS101,hard
WEB201,DES101,recommended
SEC201,CS101,hard
STAT201,STAT101,hard
STAT201,MATH101,hard
PROD201,DATA101,recommended
HCI201,DES101,hard
HCI201,CS101,recommended
CS301,SYS201,hard
CS301,CS201,hard
CS303,SYS201,hard
CS305,CS201,hard
CS305,MATH205,hard
CS305,STAT201,hard
CS308,WEB201,hard
CS308,DATA201,hard
DATA301,DATA201,hard
DATA301,CS201,hard
DATA305,DATA201,hard
DATA305,STAT101,hard
SYS305,SYS201,hard
SYS305,CS201,hard
SEC301,SEC201,hard
SEC301,CS303,hard
SEC305,SYS201,hard
SEC305,CS201,hard
AI301,CS201,hard
AI301,MATH205,recommended
AI305,CS201,hard
AI305,MATH205,hard
AI310,DATA101,hard
AI310,CS101,recommended
CLOUD301,SYS201,hard
CLOUD301,CS303,recommended
SE301,CS205,hard
PROD301,PROD201,hard
PROD301,DATA305,recommended
HCI301,HCI201,hard
HCI301,WEB201,recommended
FIN301,MATH205,hard
FIN301,STAT201,hard
BIO301,CS201,hard
BIO301,STAT201,hard
CS401,CS301,hard
CS401,CS303,hard
CS405,CS305,hard
CS405,MATH201,recommended
CS410,CS305,hard
CS410,CLOUD301,hard
CS415,CLOUD301,hard
CS415,CS308,hard
CS420,CS201,hard
CS420,SYS201,hard
CS430,CLOUD301,hard
CS430,CS301,recommended
DATA401,DATA301,hard
DATA401,CS301,recommended
DATA405,DATA305,hard
DATA405,STAT201,hard
DATA410,DATA301,hard
SEC401,CLOUD301,hard
SEC401,SEC301,hard
SEC405,SEC305,hard
SEC405,SEC301,hard
AI401,CS405,hard
AI401,AI301,hard
AI405,CS305,hard
AI405,STAT201,hard
AI410,AI310,hard
AI410,CS305,recommended
SYS401,CS301,hard
SYS401,SYS305,hard
SYS405,SYS201,hard
SYS405,SYS101,hard
SE401,CS308,hard
SE401,SE301,hard
SE405,WEB201,hard
SE405,CS205,hard
PROD401,PROD301,hard
HCI401,HCI301,hard
FIN401,FIN301,hard
FIN401,SYS305,hard
BIO401,BIO301,hard
BIO401,CS405,recommended
CS500,CS301,hard
CS500,SE401,hard
DATA500,DATA301,hard
DATA500,DATA401,hard
AI500,CS405,hard
AI500,AI410,hard
SYS500,CS401,hard
SEC500,SEC405,hard
PROD500,PROD401,hard
HCI500,HCI401,hard
EDGE201,EDGE202,hard
EDGE202,EDGE201,hard
